Sword	Refinement	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Summit Shaper 5 stacks with shield	1	4-glad	ATK%/CRYO/CR	0/8/12	7195
Summit Shaper 5 stacks	1	4-glad	ATK%/CRYO/CD	0/18/2	6703
Lion's Roar with active	5	4-glad	ATK%/CRYO/CR	0/8/12	6467
Blackcliff Longsword 3 stacks	5	4-glad	ATK%/CRYO/CR	0/8/12	6455
Summit Shaper 0 stack	1	4-glad	ATK%/CRYO/CR	0/8/12	6309
Skyward Blade with active	1	4-glad	ATK%/CRYO/CR	3/6/11	6277
Primordial Jade Cutter	1	4-glad	ATK%/CRYO/CR	0/8/12	6019
Aquila Favonia	1	4-glad	ATK%/CRYO/CR	0/8/12	5849
The Alley Flash with active	5	4-glad	ATK%/CRYO/CR	3/7/10	5728
Prototype Rancour 4 stacks	5	4-glad	ATK%/CRYO/CR	0/8/12	5522
The Black Sword	5	4-glad	ATK%/CRYO/CR	1/8/11	5498
Lion's Roar no active	1	4-glad	ATK%/CRYO/CR	0/8/12	5397
Royal Longsword	1	4-glad	ATK%/CRYO/CR	0/8/12	5397
The Flute	1	4-glad	ATK%/CRYO/CR	0/8/12	5397
Cool Steel with active	5	4-glad	ATK%/CRYO/CR	0/8/12	5217
Skyward Blade no active	1	4-glad	ATK%/CRYO/CR	3/6/11	5140
Iron Sting 2 stacks	5	4-glad	ATK%/CRYO/CR	1/8/11	5101
The Alley Flash no active	1	4-glad	ATK%/CRYO/CR	3/7/10	5059
Sword of Descension	1	4-glad	ATK%/CRYO/CR	0/8/12	4843
Harbinger of Dawn with active	5	4-glad	ATK%/CRYO/CR	0/4/16	4828
Blackcliff Longsword 0 stack	1	4-glad	ATK%/CRYO/CD	2/17/1	4782
Prototype Rancour 0 stack	1	4-glad	ATK%/CRYO/CD	2/17/1	4782
Dark Iron Sword with active	5	4-glad	ATK%/CRYO/CR	0/8/12	4696
Cool Steel no active	1	4-glad	ATK%/CRYO/CR	0/8/12	4608
Fillet Blade	1	4-glad	ATK%/CRYO/CR	0/8/12	4608
Iron Sting 0 stack	1	4-glad	ATK%/CRYO/CR	1/8/11	4505
Festering Desire	1	4-glad	ATK%/CRYO/CR	1/8/11	4505
Favonius Sword	1	4-glad	ATK%/CRYO/CR	1/8/11	4225
Sacrificial Sword	1	4-glad	ATK%/CRYO/CR	1/8/11	4225
Traveler's Handy Sword	1	4-glad	ATK%/CRYO/CR	1/8/11	4195
Skyrider Sword with active	5	4-glad	ATK%/CRYO/CR	0/8/12	4135
Dark Iron Sword no active	1	4-glad	ATK%/CRYO/CD	0/18/2	3962
Harbinger of Dawn no active	1	4-glad	ATK%/CRYO/CD	0/18/2	3962
Skyrider Sword no active	1	4-glad	ATK%/CRYO/CR	0/8/12	3728
